name,dataset,type,len,attempt,leader,input_size,hidden_layers,hidden_layers_divisor,z_layer_divisor,dropout,learning_rate,batch_size,masking,mask_size,gen_loss,disc_loss,val_loss,epochs
20240221175144,Task 1,Vanilla AE,3,1,20240221174845.0,12288,1,6,48,0.1,1e-05,16,False,0.25,,,0.0006460766308009,43
20240221175254,Task 1,Adversarial AE,3,2,20240221174845.0,12288,1,6,48,0.1,1e-05,16,False,0.25,0.6777552962303162,1.130023717880249,0.0069723925553262,11
20240221175338,Task 1,Vanilla AE,3,2,20240221174845.0,12288,1,6,48,0.1,1e-05,16,False,0.25,,,0.0028256364166736,54
20240221175504,Task 1,Adversarial AE,3,3,20240221174845.0,12288,1,6,48,0.1,1e-05,16,False,0.25,0.584807813167572,1.5364055633544922,0.0064113303087651,11
20240221175549,Task 1,Vanilla AE,3,3,20240221174845.0,12288,1,6,48,0.1,1e-05,16,False,0.25,,,0.0008967157336883,115
20240221200915,Task 1,Adversarial AE,3,4,20240221174845.0,12288,1,6,48,0.1,1e-05,16,False,0.25,0.495565265417099,1.5905699729919434,0.0029206254985183,11
20240221201001,Task 1,Vanilla AE,3,4,20240221174845.0,12288,1,6,48,0.1,1e-05,16,False,0.25,,,0.0017824247479438,119
20240221201209,Task 1,Adversarial AE,3,0,,12288,2,12,12,0.25,0.0001,32,True,0.5,0.5656167268753052,0.8448344469070435,0.0147639345377683,8
20240221201307,Task 1,Vanilla AE,3,0,20240221201209.0,12288,2,12,12,0.25,0.0001,32,True,0.5,,,0.0104775251820683,28
20240221201418,Task 1,Adversarial AE,3,1,20240221201209.0,12288,2,12,12,0.25,0.0001,32,True,0.5,0.6064919829368591,0.805822491645813,0.0147105250507593,8
20240221201516,Task 1,Vanilla AE,3,1,20240221201209.0,12288,2,12,12,0.25,0.0001,32,True,0.5,,,0.009713782928884,17
20240221201622,Task 1,Adversarial AE,3,2,20240221201209.0,12288,2,12,12,0.25,0.0001,32,True,0.5,0.4343485832214355,1.1055805683135986,0.013957617804408,8
20240221201720,Task 1,Vanilla AE,3,2,20240221201209.0,12288,2,12,12,0.25,0.0001,32,True,0.5,,,0.0104314945638179,41
20240221201834,Task 1,Adversarial AE,3,3,20240221201209.0,12288,2,12,12,0.25,0.0001,32,True,0.5,0.6330069303512573,0.7923194169998169,0.0181378033012151,7
20240221201933,Task 1,Vanilla AE,3,3,20240221201209.0,12288,2,12,12,0.25,0.0001,32,True,0.5,,,0.0116558475419878,17
20240221224002,Task 1,Adversarial AE,3,4,20240221201209.0,12288,2,12,12,0.25,0.0001,32,True,0.5,0.694952130317688,0.7132968306541443,0.0180699229240417,1
20240221224059,Task 1,Vanilla AE,3,4,20240221201209.0,12288,2,12,12,0.25,0.0001,32,True,0.5,,,0.013506987132132,41
20240221224315,Task 1,Adversarial AE,3,0,,12288,1,24,48,0.1,1e-05,16,True,0.5,0.7128807902336121,0.8828039169311523,0.0119929034262895,20
20240221224403,Task 1,Vanilla AE,3,0,20240221224315.0,12288,1,24,48,0.1,1e-05,16,True,0.5,,,0.0116201909258961,28
20240221224505,Task 1,Adversarial AE,3,1,20240221224315.0,12288,1,24,48,0.1,1e-05,16,True,0.5,0.7306625247001648,0.7405298948287964,0.0109764905646443,20
20240221224554,Task 1,Vanilla AE,3,1,20240221224315.0,12288,1,24,48,0.1,1e-05,16,True,0.5,,,0.0113347247242927,28
20240222010451,Task 1,Adversarial AE,3,2,20240221224315.0,12288,1,24,48,0.1,1e-05,16,True,0.5,0.7126769423484802,1.3426759243011477,0.0162612348794937,18
20240222010539,Task 1,Vanilla AE,3,2,20240221224315.0,12288,1,24,48,0.1,1e-05,16,True,0.5,,,0.0145564721897244,28
20240222010713,Task 1,Adversarial AE,3,0,,12288,1,24,96,0.1,1e-05,16,True,0.5,0.7267819046974182,0.9330391883850098,0.0125553486868739,19
20240222010803,Task 1,Vanilla AE,3,0,20240222010713.0,12288,1,24,96,0.1,1e-05,16,True,0.5,,,0.0087748104706406,53
20240222010920,Task 1,Adversarial AE,3,1,20240222010713.0,12288,1,24,96,0.1,1e-05,16,True,0.5,0.7369885444641113,1.040601134300232,0.0109062138944864,20
20240222011010,Task 1,Vanilla AE,3,1,20240222010713.0,12288,1,24,96,0.1,1e-05,16,True,0.5,,,0.0103021254763007,28
20240222011112,Task 1,Adversarial AE,3,2,20240222010713.0,12288,1,24,96,0.1,1e-05,16,True,0.5,0.7358471751213074,0.8631464838981628,0.0131513746455311,20
20240222011202,Task 1,Vanilla AE,3,2,20240222010713.0,12288,1,24,96,0.1,1e-05,16,True,0.5,,,0.0120223714038729,30
20240222032609,Task 1,Adversarial AE,3,0,,12288,2,6,48,0.1,0.0001,32,True,0.75,0.5562127828598022,0.930794358253479,0.0159889254719018,4
20240222032655,Task 1,Vanilla AE,3,0,20240222032609.0,12288,2,6,48,0.1,0.0001,32,True,0.75,,,0.0136563740670681,10
20240222032849,Task 1,Adversarial AE,3,0,,12288,2,6,12,0.5,0.0001,8,False,0.5,6.456730261561461e-07,15.851990699768066,0.0275657624006271,5
20240222032948,Task 1,Vanilla AE,3,0,20240222032849.0,12288,2,6,12,0.5,0.0001,8,False,0.5,,,0.0117274476215243,35
20240222055947,Task 1,Adversarial AE,3,1,20240222032849.0,12288,2,6,12,0.5,0.0001,8,False,0.5,1.188095438919845e-06,13.699507713317873,0.0282023306936025,3
20240222060046,Task 1,Vanilla AE,3,1,20240222032849.0,12288,2,6,12,0.5,0.0001,8,False,0.5,,,0.0067286961711943,27
20240222060205,Task 1,Adversarial AE,3,2,20240222032849.0,12288,2,6,12,0.5,0.0001,8,False,0.5,0.0062319571152329,11.40140151977539,0.0304091963917017,4
20240222060306,Task 1,Vanilla AE,3,2,20240222032849.0,12288,2,6,12,0.5,0.0001,8,False,0.5,,,0.0098706101998686,38
20240222060503,Task 1,Adversarial AE,3,0,,12288,1,24,96,0.5,0.0001,32,False,0.25,0.2214850634336471,2.556509494781494,0.0120391733944416,6
20240222060546,Task 1,Vanilla AE,3,0,20240222060503.0,12288,1,24,96,0.5,0.0001,32,False,0.25,,,0.0011999342823401,56
20240222060654,Task 1,Adversarial AE,3,1,20240222060503.0,12288,1,24,96,0.5,0.0001,32,False,0.25,0.2496747970581054,1.8186492919921875,0.0114215835928916,6
20240222060737,Task 1,Vanilla AE,3,1,20240222060503.0,12288,1,24,96,0.5,0.0001,32,False,0.25,,,0.0010139921214431,23
20240222084849,Task 1,Adversarial AE,3,2,20240222060503.0,12288,1,24,96,0.5,0.0001,32,False,0.25,0.3187711834907532,2.1699509620666504,0.014419911429286,6
20240222084931,Task 1,Vanilla AE,3,2,20240222060503.0,12288,1,24,96,0.5,0.0001,32,False,0.25,,,0.0019485987722873,60
20240222085044,Task 1,Adversarial AE,3,3,20240222060503.0,12288,1,24,96,0.5,0.0001,32,False,0.25,0.2537751793861389,2.481147766113281,0.0140073718503117,5
