Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.20,0.40268493761140817,0.05029100529100525,0.08879082769103416,,0.14827895666044552,0.02736278568158642,0.046267526251291304,,20240216020550:20240216032443:20240216044213:20240216055942,4,"0.0888 (0.4027, 0.0503)"
O3 Run,4096,Vanilla AE (0.50 Masked),HBOS,0.45,0.0496342737722048,0.08739495798319327,0.5201875072564728,0.5259911279353168,0.06543144077096454,0.11235810542719707,0.02471862677395416,20240218063056:20240218064526:20240218070641:20240218073346,4,"0.0874 (0.4500, 0.0496)"
O3 Run,4096,Vanilla AE (0.50 Masked),COPOD,0.16666666666666666,0.0161290322580645,0.02941176470588235,0.5030645161290322,0.3333333333333333,0.032258064516129,0.058823529411764705,0.006129032258064483,20240218135311:20240218140818:20240218142042:20240218143304,4,"0.0294 (0.1667, 0.0161)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.40,0.25,0.001785714285714275,0.003546099290780125,,0.5,0.00357142857142855,0.00709219858156025,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0035 (0.2500, 0.0018)"
O3 Run,4096,Vanilla AE (0.50 Masked),ABOD,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.80,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.00,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.80,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.00,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.80,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.00,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_4.80,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_5.00,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_5.20,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_5.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
O3 Run,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_5.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240213195628:20240213205843:20240213220116:20240213231041,4,"0.0000 (0.0000, 0.0000)"
