Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
Task 3,4096,Vanilla AE (0.75 Masked),ReconstructionThreshold_5.60,0.8,0.1004216524216524,0.17357699030668994,,0.4472135954999579,0.08793074810627231,0.14020715772580705,,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.1736 (0.8000, 0.1004)"
Task 3,4096,Vanilla AE (0.75 Masked),HBOS,0.2,0.03333333333333332,0.05714285714285714,0.5116666666666667,0.447213595499958,0.07453559924999296,0.12777531299998798,0.041499665326629125,20240228231206:20240228231420:20240228231629:20240228231834:20240228232045,5,"0.0571 (0.2000, 0.0333)"
Task 3,4096,Vanilla AE (0.75 Masked),ABOD,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20240228224626:20240228224820:20240228225014:20240228225207:20240228225401,5,"0.0000 (0.0000, 0.0000)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.40,0.5961018711018712,0.6522621082621083,0.607122296060556,,0.19006623432442438,0.09302575340814294,0.12057973089634105,,20240220211339:20240220211547:20240220211805:20240220212014:20240221003612,5,"0.6071 (0.5961, 0.6523)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.20,0.5142600089968511,0.7716381766381767,0.6059829059829059,,0.12394071025486282,0.16132375007266628,0.11067138497951336,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.6060 (0.5143, 0.7716)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.00,0.4679340556747489,0.8482336182336183,0.5959000876773475,,0.12104257030741941,0.08639441307418765,0.10719638103770868,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.5959 (0.4679, 0.8482)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.60,0.6510741428066454,0.5693105413105413,0.5848077845704148,,0.21590237360105768,0.15026452164664245,0.1450104572899244,,20240220211339:20240220211547:20240220211805:20240220212014:20240221003612,5,"0.5848 (0.6511, 0.5693)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_0.80,0.4293764695475996,0.8871566951566952,0.5755600620211626,,0.061970158458159744,0.05240061512721493,0.05461005935296736,,20240220211339:20240220211547:20240220211805:20240220212014:20240221003612,5,"0.5756 (0.4294, 0.8872)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.80,0.7114285714285714,0.4573447293447293,0.5138867728805151,,0.23891762733850602,0.19727640232047228,0.15318089656737424,,20240220211339:20240220211547:20240220211805:20240220212014:20240221003612,5,"0.5139 (0.7114, 0.4573)"
Task 3,12288,Vanilla AE (0.50 Masked),GradientBoostingClassifier,0.5192496392496392,0.518095238095238,0.5083116883116883,0.6745690499976214,0.2135859939753542,0.13612719142367538,0.16757675846630365,0.1174880461426732,20240220113741:20240220114034:20240220114328:20240220114621:20240220114914,5,"0.5083 (0.5192, 0.5181)"
